NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Josh Shockman,Record: 6-3-0,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,"Dec 29, 1980",0.87,32%,0.87,58%,0.00,0%,23%,0.0
Akira Shoji,Record: 14-17-5,,"5' 8""",195 lbs.,--,Orthodox,"Jan 31, 1974",1.03,34%,2.63,53%,1.79,73%,82%,0.4
Liudvik Sholinian,Record: 9-4-1,Palmeyros,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 20, 1990",2.50,30%,5.67,55%,0.00,0%,66%,0.0
Jack Shore,Record: 17-3-0,Tank,"5' 8""",145 lbs.,"71""",Orthodox,"Feb 06, 1995",3.60,58%,2.31,56%,3.22,39%,74%,0.6
Landon Showalter,Record: 11-19-1,The Show,"6' 0""",185 lbs.,--,,"Jun 14, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ivan Shtyrkov,Record: 15-0-1,Ural Hulk,"6' 0""",205 lbs.,"74""",Orthodox,"Jun 09, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brandon Shuey,Record: 7-6-0,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,"Feb 01, 1976",0.68,33%,1.36,0%,0.00,0%,0%,10.2
Ronal Siahaan,Record: 7-1-0,Naga Sakti,"5' 7""",125 lbs.,"71""",Southpaw,"May 05, 1996",0.63,66%,6.17,25%,0.00,0%,25%,0.0
Sam Sicilia,Record: 15-8-0,,"5' 8""",145 lbs.,"67""",Orthodox,"Feb 01, 1986",2.46,33%,3.55,59%,1.45,43%,70%,0.9
Kiril Sidelnikov,Record: 11-4-0,,"5' 11""",230 lbs.,--,,"Aug 17, 1988",2.87,28%,4.48,61%,0.00,0%,0%,0.0
Serhiy Sidey,Record: 12-2-0,,"5' 11""",135 lbs.,"72""",Switch,"Jul 04, 1996",4.49,39%,4.26,54%,1.58,25%,20%,1.3
Steven Siler,Record: 29-16-0,Super,"5' 11""",145 lbs.,"70""",Orthodox,"Feb 15, 1987",3.21,41%,2.96,54%,0.47,21%,55%,1.6
Siala Siliga,Record: 12-5-0,Mighty Mo,"6' 1""",290 lbs.,--,Orthodox,"Oct 08, 1970",1.08,26%,1.96,50%,1.47,50%,80%,0.0
Xavier Siller,Record: 5-5-0,Young Guns,"5' 5""",125 lbs.,--,,"Jun 06, 1994",1.02,36%,1.53,57%,3.83,100%,0%,0.0
Assuerio Silva,Record: 16-8-0 (1 NC),,"5' 10""",241 lbs.,--,Orthodox,"Jun 18, 1974",1.42,46%,4.20,54%,2.66,34%,25%,1.8
Anderson Silva,Record: 34-11-0 (1 NC),The Spider,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",3.05,61%,2.05,60%,0.50,77%,69%,0.8
Wanderlei Silva,Record: 35-13-1 (1 NC),The Axe Murderer,"5' 11""",205 lbs.,"74""",Orthodox,"Jul 03, 1976",2.79,40%,2.19,60%,0.97,53%,62%,0.6
Thiago Silva,Record: 19-6-0 (2 NC),,"6' 2""",205 lbs.,"74""",Orthodox,"Nov 12, 1982",3.92,50%,2.55,67%,1.03,47%,70%,0.7
Paulo Cesar Silva,Record: 2-6-0,Giant,"7' 5""",385 lbs.,--,Orthodox,"Jul 21, 1963",0.40,15%,2.72,47%,0.42,100%,16%,0.4
Jean Silva,Record: 19-12-3 (1 NC),White Bear,"5' 6""",160 lbs.,--,Orthodox,"Oct 08, 1977",0.73,22%,2.93,52%,0.00,0%,0%,0.0
Edson Silva,Record: 14-12-0 (1 NC),Paredao,--,205 lbs.,--,Orthodox,--,2.69,14%,5.37,50%,0.00,0%,0%,0.0
Sidney Silva,Record: 8-4-0,,"6' 3""",170 lbs.,--,Southpaw,"Feb 27, 1972",2.86,65%,3.30,34%,3.30,100%,0%,0.0
Jay Silva,Record: 10-11-1,,"6' 2""",185 lbs.,--,Southpaw,"May 25, 1981",1.13,34%,3.07,40%,0.00,0%,38%,1.0
Antonio Silva,Record: 19-12-1,Bigfoot,"6' 4""",264 lbs.,"82""",Orthodox,"Sep 14, 1979",2.89,45%,3.09,50%,0.82,29%,66%,0.8
Fabio Silva,Record: 1-8-0,,"5' 11""",205 lbs.,--,Orthodox,"Mar 31, 1982",0.09,11%,5.90,38%,0.00,0%,0%,0.0
Erick Silva,Record: 19-9-0 (1 NC),,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984",2.50,48%,4.18,49%,0.85,35%,56%,1.4
Leandro Silva,Record: 20-6-1 (1 NC),Buscape,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 11, 1985",2.39,48%,2.08,63%,1.76,37%,65%,0.4
Claudio Silva,Record: 14-4-0,Hannibal,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",2.48,42%,3.00,46%,2.85,26%,44%,1.1
Wagner Silva,Record: 6-3-0,Wagnao,"6' 0""",170 lbs.,--,Orthodox,"Feb 07, 1987",1.69,29%,2.87,65%,0.00,0%,58%,0.0
Rafael Silva,Record: 28-6-0,Morcego,"5' 7""",135 lbs.,--,,"Mar 20, 1985",0.67,50%,0.73,67%,0.00,0%,25%,1.0
Joaquim Silva,Record: 14-6-0,Netto BJJ,"5' 8""",155 lbs.,"69""",Southpaw,"Feb 05, 1989",3.43,43%,4.17,53%,0.34,50%,70%,0.8
Felipe Silva,Record: 8-2-0,,"6' 0""",155 lbs.,"77""",Orthodox,"May 08, 1984",5.40,50%,1.80,59%,1.00,100%,71%,0.0
Dayana Silva,Record: 7-4-0,,"5' 7""",135 lbs.,--,Orthodox,"Aug 27, 1990",6.33,51%,5.93,57%,0.00,0%,42%,0.0
Bruno Silva,Record: 15-7-2 (1 NC),Bulldog,"5' 4""",125 lbs.,"65""",Orthodox,"Mar 16, 1990",3.82,50%,4.55,52%,2.30,29%,63%,0.3
Bruno Silva,Record: 23-13-0,Blindado,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 13, 1989",3.86,48%,5.35,41%,0.77,22%,74%,0.0
Gabriel Silva,Record: 8-2-0,,"5' 6""",135 lbs.,"71""",Orthodox,"Aug 26, 1994",1.30,34%,3.47,45%,1.50,25%,38%,0.5
Jacob Silva,Record: 6-4-0,Lil Animal,"5' 5""",125 lbs.,"67""",Orthodox,"Feb 23, 1988",4.17,44%,4.92,56%,1.51,100%,66%,0.0
Natalia Silva,Record: 20-5-1,,"5' 4""",125 lbs.,"65""",Southpaw,"Feb 03, 1997",4.81,45%,2.36,66%,0.43,30%,90%,0.0
Jansey Silva,Record: 7-2-0,Jones,"6' 2""",185 lbs.,"67""",Orthodox,"May 30, 1995",0.46,40%,2.32,33%,0.00,0%,0%,0.0
Maria Silva,Record: 8-1-0,Viuva Negra,"5' 3""",115 lbs.,"64""",Orthodox,"Dec 19, 1995",3.00,57%,1.13,62%,2.00,100%,55%,0.5
Karine Silva,Record: 19-6-0,Killer,"5' 5""",125 lbs.,"67""",Orthodox,"Dec 02, 1993",2.48,39%,3.04,48%,2.30,50%,21%,1.5
Erik Silva,Record: 9-3-0,The King,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 16, 1987",2.07,70%,1.57,40%,3.76,80%,62%,0.0
Janaina Silva,Record: 5-1-0,Jana-Iron-Hand,"5' 1""",115 lbs.,"60""",Orthodox,"Feb 16, 1992",0.00,0%,1.50,62%,0.00,0%,0%,0.0
Jhonata Silva,Record: 8-2-0,,"5' 5""",125 lbs.,"66""",Orthodox,"Apr 24, 1997",4.86,52%,9.85,44%,0.00,0%,0%,0.0
Jean Silva,Record: 17-3-0,Lord,"5' 7""",145 lbs.,"69""",Orthodox,"Dec 27, 1996",4.82,51%,4.50,53%,1.20,60%,78%,0.6
Danny Silva,Record: 10-2-0,El Puma,"5' 11""",145 lbs.,"70""",Switch,"Jan 30, 1997",6.67,55%,7.47,61%,2.00,33%,81%,0.2
Frank Silva,Record: 7-1-0,De Black,--,125 lbs.,--,,"Aug 25, 2004",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Samuel Silva,Record: 13-5-1,Caveira,"6' 0""",155 lbs.,"72""",Orthodox,"Jan 02, 1996",2.58,27%,8.61,37%,0.00,0%,0%,0.0
Douglas Silva de Andrade,Record: 29-6-0 (1 NC),D Silva,"5' 7""",145 lbs.,"68""",Orthodox,"Jun 22, 1985",3.54,38%,3.93,57%,0.55,42%,72%,0.2
Leonardo Silva de Oliveira,Record: 12-4-0,Cabecao,"6' 2""",185 lbs.,--,Orthodox,"Apr 23, 1992",1.07,40%,0.54,50%,24.11,50%,0%,0.0
Marcus Silveira,Record: 6-4-0 (1 NC),Conan,"6' 3""",242 lbs.,--,Orthodox,"Dec 09, 1964",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Elias Silverio,Record: 13-3-0,Xuxu,"5' 11""",155 lbs.,"73""",Orthodox,"Sep 22, 1986",3.67,49%,2.97,51%,1.62,38%,85%,0.2
Sim Kai Xiong,Record: 7-2-0,Kobra,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 06, 1997",2.85,42%,3.64,55%,3.49,25%,100%,0.0
Jamey Simmons,Record: 7-4-0,The Afro Samurai,"5' 6""",135 lbs.,"70""",Orthodox,"Sep 11, 1992",0.79,21%,1.92,74%,0.00,0%,50%,0.0
Ricky Simon,Record: 22-7-0,,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.04,43%,3.85,61%,4.66,41%,76%,0.3
Aaron Simpson,Record: 12-5-0,A-Train,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",3.60,52%,2.53,56%,3.78,34%,83%,0.5
Wes Sims,Record: 24-14-1 (2 NC),The Project,"6' 10""",260 lbs.,--,Orthodox,"Aug 04, 1979",0.98,51%,2.95,37%,0.00,0%,40%,2.3
Marlon Sims,Record: 3-4-0,,--,170 lbs.,--,,"Jan 18, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tony Sims,Record: 12-4-0,,"5' 11""",155 lbs.,"70""",Southpaw,"Oct 14, 1985",1.81,63%,0.76,65%,0.71,50%,50%,0.7
Everett Sims,Record: 4-1-0,Sexual Chocolate,"6' 5""",260 lbs.,"77""",Southpaw,"Sep 04, 1988",0.81,66%,2.19,30%,0.00,0%,42%,1.2
Lodune Sincaid,Record: 15-9-0,,"5' 9""",185 lbs.,--,Orthodox,"May 07, 1973",2.72,42%,6.17,57%,0.00,0%,75%,0.0
Rob Sinclair,Record: 13-5-0,,"5' 8""",155 lbs.,--,,"Feb 20, 1980",1.20,33%,1.73,73%,0.00,0%,50%,0.0
Rory Singer,Record: 11-9-0,Outburst,"6' 2""",185 lbs.,"77""",Orthodox,"May 28, 1976",2.55,39%,2.42,63%,0.39,25%,64%,0.8
Rana Rudra Pratap Singh,Record: 11-2-0,Ashwathama,"5' 10""",135 lbs.,"69""",Orthodox,"May 09, 1997",0.00,0%,9.05,27%,0.00,0%,0%,0.0
Kiran Singh,Record: 7-4-0,Stubborn,"5' 1""",115 lbs.,"65""",Orthodox,"Jul 25, 2000",0.00,0%,19.51,23%,0.00,0%,0%,0.0
Elvis Sinosic,Record: 7-11-2,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 13, 1971",1.13,37%,4.60,53%,0.00,0%,0%,1.2
Mitchell Sipe,Record: 4-1-0,No Dice,"6' 2""",245 lbs.,--,Orthodox,"Apr 09, 1996",5.50,56%,9.98,46%,1.53,20%,0%,0.0
Gian Siqueira,Record: 19-5-0,Pitbull,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 23, 1994",0.80,100%,3.41,19%,0.00,0%,0%,0.0
Jeremia Siregar,Record: 6-3-0,The Teacher,"5' 2""",125 lbs.,"63""",Orthodox,"Jul 27, 1991",2.80,42%,7.37,29%,0.00,0%,75%,0.0
AJ Siscoe,Record: 1-2-0,Let's Go,"5' 7""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yokthai Sithoar,Record: 0-1-0,,"5' 7""",143 lbs.,--,,"Dec 25, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jeri Sitzes,Record: 3-1-0,,"5' 5""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dennis Siver,Record: 23-11-0 (1 NC),,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979",3.87,32%,2.67,65%,0.87,32%,65%,0.3
Chas Skelly,Record: 19-3-0 (1 NC),The Scrapper,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.01,40%,3.21,49%,1.74,34%,39%,2.3
Matt Skelton,Record: 0-1-0,,"6' 3""",265 lbs.,--,Orthodox,"Jan 23, 1967",0.00,0%,0.54,0%,0.00,0%,66%,0.0
Zach Skinner,Record: 10-11-0,,"5' 6""",145 lbs.,--,Orthodox,--,0.53,50%,2.40,32%,5.00,27%,100%,1.0
Brian Sleeman,Record: 9-9-1,,"5' 8""",185 lbs.,--,,--,4.00,48%,1.85,70%,9.23,100%,100%,0.0
Joe Slick,Record: 16-5-3,,"6' 0""",199 lbs.,--,Orthodox,"Oct 17, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ray Sloan,Record: 8-1-0,,"6' 1""",205 lbs.,--,,"Jul 14, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kestutis Smirnovas,Record: 24-8-2,,"5' 10""",200 lbs.,--,Orthodox,"Apr 08, 1976",4.95,52%,5.05,54%,1.55,50%,100%,1.6
Maurice Smith,Record: 12-14-0,,"6' 2""",221 lbs.,--,Orthodox,"Dec 13, 1961",0.41,46%,0.47,60%,0.89,50%,20%,0.9
Patrick Smith,Record: 20-17-0,,"6' 2""",225 lbs.,--,Orthodox,"Aug 28, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Scott Smith,Record: 18-11-0 (1 NC),Hands of Steel,"6' 0""",185 lbs.,"70""",Orthodox,"May 21, 1979",1.90,27%,5.87,50%,0.12,6%,58%,0.5
Eric Smith,Record: 1-1-0,,--,--,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Smith,Record: 9-8-0,,"6' 0""",155 lbs.,--,Orthodox,"Jul 02, 1982",0.73,28%,1.40,54%,0.00,0%,57%,2.0
David Smith,Record: 5-1-0,,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Smith,Record: 0-3-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dillon Smith,Record: 0-0-0,,"6' 0""",170 lbs.,--,,"Jan 07, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Trevor Smith,Record: 15-10-0,Hot Sauce,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 05, 1981",3.29,55%,3.31,51%,1.70,32%,60%,0.7
Anthony Smith,Record: 38-22-0,Lionheart,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",3.19,49%,5.04,44%,0.44,22%,50%,0.6
Colton Smith,Record: 7-4-0,,"6' 0""",155 lbs.,"71""",Orthodox,"Aug 14, 1987",1.64,41%,2.30,51%,4.09,36%,25%,1.4
Gilbert Smith,Record: 12-6-0,,"5' 9""",185 lbs.,--,Southpaw,"Oct 19, 1981",1.09,41%,2.73,35%,3.51,60%,0%,1.2
Leslie Smith,Record: 10-7-1,The Peacemaker,"5' 9""",135 lbs.,"66""",Orthodox,"Aug 17, 1982",7.56,40%,8.41,51%,0.00,0%,62%,0.0
Devonte Smith,Record: 11-4-0,King Kage,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",4.55,53%,3.91,49%,0.35,25%,85%,0.3
Cole Smith,Record: 7-2-0,The Cole Train,"5' 11""",135 lbs.,"67""",Orthodox,"Apr 05, 1989",1.78,35%,1.96,49%,1.67,33%,45%,1.7
Nate Smith,Record: 6-1-0,The Savage,"5' 6""",125 lbs.,"69""",Switch,"Apr 09, 1995",1.28,38%,2.04,35%,0.00,0%,33%,2.3
Braxton Smith,Record: 5-2-0,The Beautiful Monster,"5' 11""",257 lbs.,"72""",Orthodox,"Jan 01, 1990",6.46,48%,11.54,32%,0.00,0%,100%,0.0
Elijah Smith,Record: 9-1-0,Swift,"5' 9""",135 lbs.,"71""",Orthodox,"Sep 05, 2002",4.45,47%,3.40,47%,3.51,53%,57%,0.9
Jacobe Smith,Record: 11-0-0,Cobe,"5' 10""",170 lbs.,"72""",Southpaw,"Jan 17, 1996",6.21,66%,2.86,47%,7.42,90%,100%,0.8
Walter Smith-Cotito,Record: 4-5-0 (1 NC),,"5' 8""",135 lbs.,--,,--,2.95,36%,3.53,68%,2.16,33%,57%,0.0
Justin Smitley,Record: 10-7-1,,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dmitrii Smoliakov,Record: 9-3-0,The Lifeguard,"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982",1.44,42%,3.81,55%,0.00,0%,75%,0.0
Louis Smolka,Record: 17-9-0,Da Last Samurai,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991",4.67,47%,4.11,53%,1.69,35%,32%,1.8
Cameron Smotherman,Record: 12-6-0,The Baby-Faced Killa,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 17, 1997",4.07,37%,3.52,58%,0.00,0%,62%,0.0
Shimon Smotritsky,Record: 8-2-0,The Assassin,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 22, 2000",3.52,34%,8.67,56%,3.52,33%,50%,0.0
Richie Smullen,Record: 3-1-1,,"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991",1.98,77%,2.26,65%,8.49,66%,0%,0.0
Devin Smyth,Record: 4-2-0,,"5' 10""",170 lbs.,"72""",Switch,"Jul 21, 1995",2.60,68%,6.73,25%,4.00,26%,100%,0.0
Denis Sobolev,Record: 4-7-0,,"6' 3""",216 lbs.,--,Orthodox,"Aug 26, 1975",0.00,0%,5.45,33%,0.00,0%,0%,0.0
Peter Sobotta,Record: 17-7-1,,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",2.14,40%,2.90,58%,1.53,32%,77%,0.5
Renato Sobral,Record: 37-11-0,Babalu,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975",2.23,45%,1.53,57%,2.48,42%,65%,2.6
Rameau Thierry Sokoudjou,Record: 18-18-0,The African Assassin,"5' 10""",205 lbs.,"78""",Orthodox,"Apr 18, 1984",2.26,45%,2.61,56%,1.93,47%,78%,0.9
Axel Sola,Record: 11-0-1,,"6' 2""",155 lbs.,"74""",Southpaw,"Sep 17, 1997",3.74,42%,2.74,75%,1.25,25%,0%,0.0
Alexander Soldatkin,Record: 14-4-0,,"6' 2""",250 lbs.,"75""",Orthodox,"Jun 10, 1993",1.16,60%,1.35,26%,1.45,50%,50%,0.0
Joe Solecki,Record: 13-6-0,,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 27, 1993",1.97,53%,1.85,50%,2.06,48%,14%,1.4
Chris Solomon,Record: 0-0-0,,"5' 11""",155 lbs.,--,,--,0.00,0%,2.80,37%,0.00,0%,33%,0.0
Joe Son,Record: 0-4-0,,"5' 4""",236 lbs.,--,Orthodox,"Nov 22, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Paul Song,Record: 2-2-0,,--,185 lbs.,--,,"Jan 20, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Song Kenan,Record: 22-9-0,The Assassin,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 10, 1990",4.49,46%,5.82,51%,0.42,30%,73%,0.0
Song Yadong,Record: 22-9-1 (1 NC),Kung Fu Kid,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",4.42,43%,3.94,55%,0.78,39%,73%,0.1
YoungJae Song,Record: 6-1-1,Super Rookie,"5' 7""",145 lbs.,"70""",Orthodox,"Jan 03, 1996",3.33,58%,2.33,55%,0.00,0%,45%,0.0
Hyeonjong Song,Record: 8-1-0,,--,135 lbs.,--,,"Apr 23, 2002",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Emrah Sonmez,Record: 14-5-0,Anatolian Wolf,"5' 10""",145 lbs.,"71""",Orthodox,"Jun 26, 1992",1.47,46%,1.73,48%,5.00,21%,0%,0.0
Chael Sonnen,Record: 29-15-1,,"6' 1""",205 lbs.,"73""",Southpaw,"Apr 03, 1977",3.08,43%,1.10,62%,3.81,59%,66%,0.4
Cody Sons,Record: 3-7-0,,"5' 9""",205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jin Soo Son,Record: 9-4-0,,"5' 6""",135 lbs.,"69""",Orthodox,"Apr 01, 1993",5.10,36%,7.63,52%,1.50,25%,100%,0.0
Benardo Sopaj,Record: 12-3-0,Lion King,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 25, 2000",4.24,56%,4.88,49%,2.53,71%,76%,0.0
Emiliano Sordi,Record: 16-7-0,He-Man,"6' 2""",205 lbs.,--,Orthodox,"Feb 15, 1991",4.79,50%,4.79,48%,0.00,0%,100%,8.3
Sean Soriano,Record: 14-8-0,,"5' 9""",145 lbs.,"70""",Orthodox,"Oct 06, 1989",3.18,61%,2.14,56%,1.33,55%,52%,0.0
Punahele Soriano,Record: 12-4-0,Puna,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992",4.66,54%,3.42,47%,1.83,48%,40%,0.1
Hecher Sosa,Record: 13-1-0,Guanche Warrior,"5' 9""",135 lbs.,"70""",Orthodox,"Aug 25, 1995",2.13,50%,0.87,55%,4.00,36%,100%,2.0
Dmitry Sosnovskiy,Record: 11-0-0,Wicked Machine,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989",2.95,70%,2.53,35%,3.16,66%,100%,3.2
Ben Sosoli,Record: 7-3-0 (2 NC),Combat Wombat,"6' 0""",265 lbs.,"72""",Southpaw,"Dec 10, 1989",2.31,31%,4.30,47%,0.00,0%,0%,0.0
Krzysztof Soszynski,Record: 26-12-1,The Polish Experiment,"6' 1""",205 lbs.,"77""",Open Stance,"Aug 02, 1977",3.37,39%,3.13,58%,0.52,25%,71%,1.0
George Sotiropoulos,Record: 14-7-0,,"5' 10""",155 lbs.,"71""",Orthodox,"Jul 09, 1977",2.61,27%,2.52,67%,2.32,31%,53%,1.6
Greg Soto,Record: 9-4-0,,"5' 11""",170 lbs.,"73""",Orthodox,"Jun 03, 1986",3.21,63%,2.61,52%,1.49,27%,44%,1.0
Alex Soto,Record: 8-3-1,Extremo,"5' 8""",135 lbs.,--,Southpaw,"Feb 15, 1984",2.95,25%,5.02,59%,2.82,30%,0%,0.0
Joe Soto,Record: 18-7-0,One Bad Mofo,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 22, 1987",3.36,41%,5.37,67%,0.85,21%,70%,1.9
Mario Soto,Record: 7-2-0,Dr. Mario,"6' 0""",145 lbs.,--,,--,1.43,23%,5.23,42%,0.00,0%,0%,0.0
Andre Soukhamthath,Record: 13-8-0,The Asian Sensation,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",2.77,44%,4.31,49%,1.25,53%,58%,0.2
Mario Sousa,Record: 15-3-0,Coracao Valente,"6' 3""",185 lbs.,"79""",Orthodox,"Oct 20, 1996",2.82,50%,2.99,28%,0.52,25%,37%,0.5
Manoel Sousa,Record: 13-1-0,Manumito,"5' 9""",155 lbs.,"70""",Orthodox,"Jun 04, 1997",3.23,58%,1.31,55%,0.00,0%,62%,2.3
Bobby Southworth,Record: 10-6-0 (1 NC),,"6' 2""",205 lbs.,--,Orthodox,"Dec 16, 1969",0.99,39%,1.38,65%,3.98,78%,64%,1.3
Jacare Souza,Record: 26-10-0 (1 NC),,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",2.53,47%,2.83,62%,2.57,39%,57%,1.3
Edimilson Souza,Record: 15-5-0,Kevin,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984",4.65,44%,2.91,58%,0.00,0%,50%,0.0
Livinha Souza,Record: 14-4-0,The Brazilian Gangsta,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991",1.75,45%,3.60,56%,2.54,45%,40%,1.4
Bruno Souza,Record: 10-3-0,The Tiger,"5' 10""",145 lbs.,"70""",Orthodox,"Mar 07, 1996",3.73,39%,5.30,45%,0.50,16%,60%,0.0
Ketlen Souza,Record: 16-6-0,Esquentadinha,"5' 3""",115 lbs.,"63""",Orthodox,"Aug 18, 1994",4.01,56%,3.86,52%,0.46,13%,53%,0.2
Heraldo Souza,Record: 9-2-1,Savage,"5' 11""",185 lbs.,"73""",Orthodox,"Dec 15, 1994",1.62,33%,1.62,50%,0.00,0%,0%,0.0
Charon Spain,Record: 14-26-0,,"5' 9""",155 lbs.,--,,"Mar 11, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Spang,Record: 6-3-0,The Kiss,"6' 2""",170 lbs.,--,Orthodox,"Nov 26, 1987",1.83,36%,1.95,60%,0.00,0%,50%,0.9
Andreas Spang,Record: 9-3-0,Sweet Swede,"6' 1""",185 lbs.,--,,"Nov 07, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ryan Spann,Record: 23-11-0,Superman,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",3.19,39%,4.14,43%,1.30,34%,52%,1.8
Ron Sparks,Record: 8-3-0,The Monster,"6' 5""",265 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tommy Speer,Record: 21-7-0,,"5' 10""",170 lbs.,"71""",Orthodox,"Aug 20, 1984",2.56,51%,5.12,35%,2.02,33%,33%,0.0
Patrick Speight,Record: 7-3-0,,"6' 1""",170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sean Spencer,Record: 12-6-0,Black Magic,"5' 10""",170 lbs.,"74""",Orthodox,"Jun 25, 1987",4.24,32%,4.02,60%,0.14,33%,68%,0.0
Felicia Spencer,Record: 9-3-0,FeeNom,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 29, 1990",3.21,48%,4.54,45%,1.18,18%,27%,0.2
Sam Spengler,Record: 9-5-0,The Ram,"5' 11""",185 lbs.,--,Orthodox,"Apr 04, 1976",3.27,62%,3.27,54%,1.75,11%,75%,1.8
Nick Sperling,Record: 3-4-0,,--,135 lbs.,--,,--,1.40,25%,1.40,66%,0.00,0%,0%,0.0
Mario Sperry,Record: 13-4-0,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,"Sep 28, 1966",2.81,52%,1.53,47%,2.09,42%,71%,1.4
Eric Spicely,Record: 12-6-0,Zebrinha,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",3.71,45%,5.72,55%,1.31,20%,75%,1.0
Waachiim Spiritwolf,Record: 12-13-1 (2 NC),Native Warrior,"5' 8""",170 lbs.,--,,"Jan 01, 1976",10.00,100%,10.00,0%,0.00,0%,0%,0.0
Daniel Spitz,Record: 6-3-0,,"6' 7""",245 lbs.,"82""",Orthodox,"Jul 31, 1990",2.60,35%,5.30,46%,0.74,66%,0%,0.0
Serghei Spivac,Record: 17-6-0,Polar Bear,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",3.45,48%,4.25,50%,4.21,62%,63%,0.5
Daniel Spohn,Record: 15-6-0,Dragon,"6' 4""",205 lbs.,"79""",Southpaw,"Oct 12, 1984",2.42,49%,1.60,53%,0.00,0%,28%,2.5
